day,hours,price
11.02.2019,H13,57.27
11.02.2019,H14,55.99
11.02.2019,H15,55.06
11.02.2019,H16,57.98
11.02.2019,H17,61.30
11.02.2019,H18,67.93
11.02.2019,H19,69.56
11.02.2019,H20,62.60
11.02.2019,H21,55.07
11.02.2019,H22,46.22
11.02.2019,H23,42.44
11.02.2019,H24,32.11
12.02.2019,H1,28.95
12.02.2019,H2,29.10
12.02.2019,H3,28.03
12.02.2019,H4,28.46
12.02.2019,H5,30.20
12.02.2019,H6,36.94
12.02.2019,H7,49.89
12.02.2019,H8,58.55
12.02.2019,H9,62.15
12.02.2019,H10,59.92
12.02.2019,H11,58.24
12.02.2019,H12,56.57
12.02.2019,H13,55.06
12.02.2019,H14,52.74
12.02.2019,H15,52.74
12.02.2019,H16,52.87
12.02.2019,H17,56.50
12.02.2019,H18,62.84
12.02.2019,H19,67.24
12.02.2019,H20,61.48
12.02.2019,H21,55.71
12.02.2019,H22,49.02
12.02.2019,H23,45.28
12.02.2019,H24,41.30
13.02.2019,H1,39.72
13.02.2019,H2,38.00
13.02.2019,H3,36.30
13.02.2019,H4,35.53
13.02.2019,H5,36.98
13.02.2019,H6,40.07
13.02.2019,H7,46.87
13.02.2019,H8,56.92
13.02.2019,H9,58.09
13.02.2019,H10,56.59
13.02.2019,H11,54.11
13.02.2019,H12,52.67
13.02.2019,H13,52.08
13.02.2019,H14,50.04
13.02.2019,H15,50.68
13.02.2019,H16,54.02
13.02.2019,H17,59.98
13.02.2019,H18,74.84
13.02.2019,H19,83.48
13.02.2019,H20,77.93
13.02.2019,H21,62.79
13.02.2019,H22,56.52
13.02.2019,H23,48.51
13.02.2019,H24,43.50
14.02.2019,H1,40.82
14.02.2019,H2,40.12
14.02.2019,H3,40.00
14.02.2019,H4,39.50
14.02.2019,H5,40.40
14.02.2019,H6,43.67
14.02.2019,H7,62.00
14.02.2019,H8,66.80
14.02.2019,H9,71.50
14.02.2019,H10,67.55
14.02.2019,H11,60.53
14.02.2019,H12,57.63
14.02.2019,H13,53.20
14.02.2019,H14,50.03
14.02.2019,H15,48.30
14.02.2019,H16,48.80
14.02.2019,H17,51.60
14.02.2019,H18,59.98
14.02.2019,H19,67.28
14.02.2019,H20,60.65
14.02.2019,H21,55.27
14.02.2019,H22,50.32
14.02.2019,H23,49.63
14.02.2019,H24,44.50
15.02.2019,H1,42.17
15.02.2019,H2,41.00
15.02.2019,H3,40.16
15.02.2019,H4,39.32
15.02.2019,H5,40.11
15.02.2019,H6,43.31
15.02.2019,H7,52.64
15.02.2019,H8,59.49
15.02.2019,H9,59.67
15.02.2019,H10,54.81
15.02.2019,H11,50.44
15.02.2019,H12,48.28
15.02.2019,H13,47.05
15.02.2019,H14,45.40
15.02.2019,H15,45.41
15.02.2019,H16,47.70
15.02.2019,H17,50.98
15.02.2019,H18,59.92
15.02.2019,H19,66.23
15.02.2019,H20,59.96
15.02.2019,H21,55.11
15.02.2019,H22,48.28
15.02.2019,H23,46.94
15.02.2019,H24,40.79
16.02.2019,H1,42.04
16.02.2019,H2,38.58
16.02.2019,H3,37.00
16.02.2019,H4,36.36
16.02.2019,H5,36.47
16.02.2019,H6,37.04
16.02.2019,H7,42.04
16.02.2019,H8,46.68
16.02.2019,H9,48.95
16.02.2019,H10,49.97
16.02.2019,H11,48.26
16.02.2019,H12,45.48
16.02.2019,H13,42.49
16.02.2019,H14,40.95
16.02.2019,H15,41.14
16.02.2019,H16,43.96
16.02.2019,H17,52.61
16.02.2019,H18,68.30
16.02.2019,H19,74.21
16.02.2019,H20,71.44
16.02.2019,H21,65.01
16.02.2019,H22,55.06
16.02.2019,H23,44.51
16.02.2019,H24,40.28
17.02.2019,H1,40.12
17.02.2019,H2,36.09
17.02.2019,H3,35.49
17.02.2019,H4,35.36
17.02.2019,H5,34.84
17.02.2019,H6,35.67
17.02.2019,H7,40.03
17.02.2019,H8,42.10
17.02.2019,H9,44.28
17.02.2019,H10,46.22
17.02.2019,H11,45.95
17.02.2019,H12,44.01
17.02.2019,H13,41.58
17.02.2019,H14,38.59
17.02.2019,H15,39.32
17.02.2019,H16,41.58
17.02.2019,H17,42.70
17.02.2019,H18,55.40
17.02.2019,H19,60.76
17.02.2019,H20,56.72
17.02.2019,H21,46.97
17.02.2019,H22,43.45
17.02.2019,H23,43.30
17.02.2019,H24,40.00
18.02.2019,H1,35.70
18.02.2019,H2,35.00
18.02.2019,H3,35.00
18.02.2019,H4,34.20
18.02.2019,H5,35.46
18.02.2019,H6,40.10
18.02.2019,H7,56.20
18.02.2019,H8,66.06
18.02.2019,H9,66.59
18.02.2019,H10,60.06
18.02.2019,H11,52.14
18.02.2019,H12,50.44
18.02.2019,H13,48.33
18.02.2019,H14,47.53
18.02.2019,H15,48.33
18.02.2019,H16,52.13
18.02.2019,H17,53.28
18.02.2019,H18,71.54
18.02.2019,H19,75.01
18.02.2019,H20,71.54
18.02.2019,H21,57.09
18.02.2019,H22,48.51
18.02.2019,H23,49.52
18.02.2019,H24,41.61
19.02.2019,H1,38.73
19.02.2019,H2,37.11
19.02.2019,H3,36.08
19.02.2019,H4,35.70
19.02.2019,H5,36.30
19.02.2019,H6,40.31
19.02.2019,H7,50.00
19.02.2019,H8,56.00
19.02.2019,H9,59.39
19.02.2019,H10,56.56
19.02.2019,H11,53.00
19.02.2019,H12,51.42
19.02.2019,H13,49.41
19.02.2019,H14,48.33
19.02.2019,H15,48.33
19.02.2019,H16,49.08
19.02.2019,H17,49.52
19.02.2019,H18,51.43
19.02.2019,H19,55.95
19.02.2019,H20,54.79
19.02.2019,H21,48.54
19.02.2019,H22,43.15
19.02.2019,H23,43.00
19.02.2019,H24,40.20
20.02.2019,H1,36.74
20.02.2019,H2,35.63
20.02.2019,H3,34.44
20.02.2019,H4,34.44
20.02.2019,H5,35.66
20.02.2019,H6,42.09
20.02.2019,H7,55.04
20.02.2019,H8,60.22
20.02.2019,H9,61.24
20.02.2019,H10,55.58
20.02.2019,H11,51.05
20.02.2019,H12,50.35
20.02.2019,H13,48.92
20.02.2019,H14,48.31
20.02.2019,H15,48.31
20.02.2019,H16,50.12
20.02.2019,H17,55.06
20.02.2019,H18,74.95
20.02.2019,H19,82.91
20.02.2019,H20,79.44
20.02.2019,H21,64.00
20.02.2019,H22,50.09
20.02.2019,H23,50.03
20.02.2019,H24,39.31
21.02.2019,H1,39.55
21.02.2019,H2,38.70
21.02.2019,H3,37.15
21.02.2019,H4,36.06
21.02.2019,H5,37.02
21.02.2019,H6,41.49
21.02.2019,H7,54.74
21.02.2019,H8,62.01
21.02.2019,H9,63.74
21.02.2019,H10,56.64
21.02.2019,H11,50.73
21.02.2019,H12,49.58
21.02.2019,H13,48.31
21.02.2019,H14,47.85
21.02.2019,H15,47.50
21.02.2019,H16,48.27
21.02.2019,H17,48.62
21.02.2019,H18,63.61
21.02.2019,H19,74.79
21.02.2019,H20,71.40
21.02.2019,H21,62.29
21.02.2019,H22,56.51
21.02.2019,H23,52.02
21.02.2019,H24,41.89
22.02.2019,H1,43.19
22.02.2019,H2,39.64
22.02.2019,H3,38.94
22.02.2019,H4,38.70
22.02.2019,H5,39.51
22.02.2019,H6,45.05
22.02.2019,H7,54.64
22.02.2019,H8,63.06
22.02.2019,H9,65.07
22.02.2019,H10,65.30
22.02.2019,H11,62.35
22.02.2019,H12,63.00
22.02.2019,H13,58.97
22.02.2019,H14,54.81
22.02.2019,H15,50.24
22.02.2019,H16,47.41
22.02.2019,H17,48.10
22.02.2019,H18,51.51
22.02.2019,H19,53.71
22.02.2019,H20,51.95
22.02.2019,H21,48.00
22.02.2019,H22,42.48
22.02.2019,H23,43.07
22.02.2019,H24,39.75
23.02.2019,H1,39.00
23.02.2019,H2,38.31
23.02.2019,H3,36.73
23.02.2019,H4,36.85
23.02.2019,H5,36.78
23.02.2019,H6,36.95
23.02.2019,H7,38.49
23.02.2019,H8,42.12
23.02.2019,H9,45.29
23.02.2019,H10,45.66
23.02.2019,H11,44.79
23.02.2019,H12,43.28
23.02.2019,H13,40.57
23.02.2019,H14,37.19
23.02.2019,H15,37.25
23.02.2019,H16,39.90
23.02.2019,H17,44.05
23.02.2019,H18,52.88
23.02.2019,H19,59.95
23.02.2019,H20,59.97
23.02.2019,H21,52.02
23.02.2019,H22,43.73
23.02.2019,H23,42.19
23.02.2019,H24,40.16
24.02.2019,H1,37.93
24.02.2019,H2,38.45
24.02.2019,H3,36.67
24.02.2019,H4,35.70
24.02.2019,H5,35.24
24.02.2019,H6,35.58
24.02.2019,H7,35.41
24.02.2019,H8,37.91
24.02.2019,H9,39.06
24.02.2019,H10,40.61
24.02.2019,H11,41.72
24.02.2019,H12,39.09
24.02.2019,H13,37.00
24.02.2019,H14,35.70
24.02.2019,H15,34.73
24.02.2019,H16,36.93
24.02.2019,H17,42.55
24.02.2019,H18,58.38
24.02.2019,H19,73.29
24.02.2019,H20,74.93
24.02.2019,H21,67.96
24.02.2019,H22,54.98
24.02.2019,H23,51.06
24.02.2019,H24,44.33
25.02.2019,H1,39.36
25.02.2019,H2,38.38
25.02.2019,H3,37.80
25.02.2019,H4,37.58
25.02.2019,H5,38.00
25.02.2019,H6,42.83
25.02.2019,H7,58.55
25.02.2019,H8,64.01
25.02.2019,H9,67.34
25.02.2019,H10,61.91
25.02.2019,H11,52.05
25.02.2019,H12,49.00
25.02.2019,H13,48.21
25.02.2019,H14,48.01
25.02.2019,H15,46.55
25.02.2019,H16,45.99
25.02.2019,H17,49.01
25.02.2019,H18,57.18
25.02.2019,H19,62.41
25.02.2019,H20,59.87
25.02.2019,H21,51.15
25.02.2019,H22,47.90
25.02.2019,H23,47.12
25.02.2019,H24,44.03
26.02.2019,H1,39.27
26.02.2019,H2,36.38
26.02.2019,H3,36.30
26.02.2019,H4,35.07
26.02.2019,H5,35.54
26.02.2019,H6,41.14
26.02.2019,H7,50.58
26.02.2019,H8,58.41
26.02.2019,H9,61.84
26.02.2019,H10,57.94
26.02.2019,H11,53.04
26.02.2019,H12,50.44
26.02.2019,H13,48.45
26.02.2019,H14,45.99
26.02.2019,H15,43.89
26.02.2019,H16,48.09
26.02.2019,H17,50.92
26.02.2019,H18,60.27
26.02.2019,H19,75.00
26.02.2019,H20,64.93
26.02.2019,H21,53.48
26.02.2019,H22,47.45
26.02.2019,H23,46.64
26.02.2019,H24,44.43
27.02.2019,H1,39.75
27.02.2019,H2,39.01
27.02.2019,H3,38.50
27.02.2019,H4,38.50
27.02.2019,H5,38.50
27.02.2019,H6,41.99
27.02.2019,H7,52.04
27.02.2019,H8,58.41
27.02.2019,H9,53.80
27.02.2019,H10,50.03
27.02.2019,H11,48.48
27.02.2019,H12,45.04
27.02.2019,H13,44.34
27.02.2019,H14,43.08
27.02.2019,H15,43.60
27.02.2019,H16,47.46
27.02.2019,H17,51.10
27.02.2019,H18,60.30
27.02.2019,H19,70.43
27.02.2019,H20,70.91
27.02.2019,H21,65.90
27.02.2019,H22,58.46
27.02.2019,H23,54.12
27.02.2019,H24,47.59
28.02.2019,H1,42.92
28.02.2019,H2,35.49
28.02.2019,H3,33.19
28.02.2019,H4,32.07
28.02.2019,H5,39.27
28.02.2019,H6,50.19
28.02.2019,H7,63.23
28.02.2019,H8,60.20
28.02.2019,H9,55.61
28.02.2019,H10,48.56
28.02.2019,H11,45.26
28.02.2019,H12,41.73
28.02.2019,H13,38.78
28.02.2019,H14,36.50
28.02.2019,H15,36.50
28.02.2019,H16,37.80
28.02.2019,H17,41.90
28.02.2019,H18,48.09
28.02.2019,H19,56.38
28.02.2019,H20,56.57
28.02.2019,H21,52.39
28.02.2019,H22,46.27
28.02.2019,H23,43.46
28.02.2019,H24,41.75
01.03.2019,H1,37.84
01.03.2019,H2,36.64
01.03.2019,H3,36.30
01.03.2019,H4,35.80
01.03.2019,H5,36.62
01.03.2019,H6,41.82
01.03.2019,H7,58.43
01.03.2019,H8,58.64
01.03.2019,H9,57.93
01.03.2019,H10,54.79
01.03.2019,H11,55.22
01.03.2019,H12,50.75
01.03.2019,H13,49.90
01.03.2019,H14,50.10
01.03.2019,H15,51.79
01.03.2019,H16,52.08
01.03.2019,H17,57.10
01.03.2019,H18,58.28
01.03.2019,H19,69.19
01.03.2019,H20,65.45
01.03.2019,H21,58.58
01.03.2019,H22,54.18
01.03.2019,H23,52.17
01.03.2019,H24,47.48
02.03.2019,H1,43.95
02.03.2019,H2,40.98
02.03.2019,H3,39.64
02.03.2019,H4,38.36
02.03.2019,H5,38.17
02.03.2019,H6,38.99
02.03.2019,H7,43.07
02.03.2019,H8,45.04
02.03.2019,H9,48.06
02.03.2019,H10,48.30
02.03.2019,H11,49.45
02.03.2019,H12,49.84
02.03.2019,H13,47.91
02.03.2019,H14,44.97
02.03.2019,H15,45.10
02.03.2019,H16,47.91
02.03.2019,H17,50.40
02.03.2019,H18,57.36
02.03.2019,H19,69.39
02.03.2019,H20,67.14
02.03.2019,H21,60.07
02.03.2019,H22,56.91
02.03.2019,H23,51.61
02.03.2019,H24,43.79
03.03.2019,H1,31.90
03.03.2019,H2,26.08
03.03.2019,H3,19.93
03.03.2019,H4,14.63
03.03.2019,H5,14.76
03.03.2019,H6,23.22
03.03.2019,H7,20.07
03.03.2019,H8,32.42
03.03.2019,H9,39.57
03.03.2019,H10,42.06
03.03.2019,H11,43.25
03.03.2019,H12,43.52
03.03.2019,H13,39.50
03.03.2019,H14,36.81
03.03.2019,H15,35.48
03.03.2019,H16,42.06
03.03.2019,H17,48.28
03.03.2019,H18,49.46
03.03.2019,H19,58.61
03.03.2019,H20,57.96
03.03.2019,H21,52.08
03.03.2019,H22,41.36
03.03.2019,H23,29.30
03.03.2019,H24,21.99
04.03.2019,H1,18.80
04.03.2019,H2,5.96
04.03.2019,H3,3.05
04.03.2019,H4,1.02
04.03.2019,H5,2.48
04.03.2019,H6,35.03
04.03.2019,H7,47.54
04.03.2019,H8,57.94
04.03.2019,H9,53.86
04.03.2019,H10,50.39
04.03.2019,H11,42.95
04.03.2019,H12,41.53
04.03.2019,H13,42.06
04.03.2019,H14,42.06
04.03.2019,H15,42.06
04.03.2019,H16,45.09
04.03.2019,H17,48.28
04.03.2019,H18,49.02
04.03.2019,H19,60.51
04.03.2019,H20,58.26
04.03.2019,H21,46.52
04.03.2019,H22,43.14
04.03.2019,H23,38.08
04.03.2019,H24,36.52
05.03.2019,H1,32.54
05.03.2019,H2,23.00
05.03.2019,H3,15.02
05.03.2019,H4,10.54
05.03.2019,H5,19.96
05.03.2019,H6,44.81
05.03.2019,H7,56.03
05.03.2019,H8,59.49
05.03.2019,H9,50.39
05.03.2019,H10,48.28
05.03.2019,H11,45.66
05.03.2019,H12,42.06
05.03.2019,H13,43.41
05.03.2019,H14,40.64
05.03.2019,H15,41.01
05.03.2019,H16,43.49
05.03.2019,H17,48.28
05.03.2019,H18,54.06
05.03.2019,H19,70.04
05.03.2019,H20,70.08
05.03.2019,H21,66.58
05.03.2019,H22,57.01
05.03.2019,H23,53.84
05.03.2019,H24,48.18
06.03.2019,H1,42.04
06.03.2019,H2,36.78
06.03.2019,H3,35.44
06.03.2019,H4,33.75
06.03.2019,H5,36.07
06.03.2019,H6,46.21
06.03.2019,H7,59.71
06.03.2019,H8,67.05
06.03.2019,H9,68.07
06.03.2019,H10,60.97
06.03.2019,H11,54.01
06.03.2019,H12,48.32
06.03.2019,H13,48.57
06.03.2019,H14,46.21
06.03.2019,H15,44.95
06.03.2019,H16,48.32
06.03.2019,H17,48.72
06.03.2019,H18,57.10
06.03.2019,H19,77.96
06.03.2019,H20,75.39
06.03.2019,H21,67.30
06.03.2019,H22,56.94
06.03.2019,H23,50.43
06.03.2019,H24,46.51
07.03.2019,H1,47.38
07.03.2019,H2,37.47
07.03.2019,H3,30.03
07.03.2019,H4,27.81
07.03.2019,H5,34.22
07.03.2019,H6,40.71
07.03.2019,H7,51.07
07.03.2019,H8,56.95
07.03.2019,H9,51.99
07.03.2019,H10,48.20
07.03.2019,H11,41.99
07.03.2019,H12,40.06
07.03.2019,H13,41.99
07.03.2019,H14,39.86
07.03.2019,H15,38.70
07.03.2019,H16,40.72
07.03.2019,H17,39.87
07.03.2019,H18,41.99
07.03.2019,H19,51.99
07.03.2019,H20,48.20
07.03.2019,H21,48.20
07.03.2019,H22,41.99
07.03.2019,H23,42.38
07.03.2019,H24,35.57
08.03.2019,H1,29.50
08.03.2019,H2,21.06
08.03.2019,H3,14.71
08.03.2019,H4,10.53
08.03.2019,H5,16.43
08.03.2019,H6,37.49
08.03.2019,H7,48.24
08.03.2019,H8,51.88
08.03.2019,H9,53.95
08.03.2019,H10,51.16
08.03.2019,H11,49.90
08.03.2019,H12,48.24
08.03.2019,H13,48.24
08.03.2019,H14,46.04
08.03.2019,H15,48.24
08.03.2019,H16,48.24
08.03.2019,H17,48.24
08.03.2019,H18,57.16
08.03.2019,H19,52.53
08.03.2019,H20,52.84
08.03.2019,H21,48.00
08.03.2019,H22,43.00
08.03.2019,H23,41.11
08.03.2019,H24,35.60
09.03.2019,H1,38.23
09.03.2019,H2,32.07
09.03.2019,H3,20.21
09.03.2019,H4,14.00
09.03.2019,H5,15.73
09.03.2019,H6,23.08
09.03.2019,H7,35.60
09.03.2019,H8,48.24
09.03.2019,H9,50.07
09.03.2019,H10,51.08
09.03.2019,H11,47.89
09.03.2019,H12,44.80
09.03.2019,H13,42.05
09.03.2019,H14,39.48
09.03.2019,H15,39.32
09.03.2019,H16,41.99
09.03.2019,H17,41.07
09.03.2019,H18,41.26
09.03.2019,H19,51.07
09.03.2019,H20,50.00
09.03.2019,H21,38.08
09.03.2019,H22,27.05
09.03.2019,H23,25.24
09.03.2019,H24,20.65
10.03.2019,H1,21.09
10.03.2019,H2,10.79
10.03.2019,H3,5.83
10.03.2019,H4,4.22
10.03.2019,H5,7.34
10.03.2019,H6,8.00
10.03.2019,H7,10.95
10.03.2019,H8,16.45
10.03.2019,H9,22.80
10.03.2019,H10,25.80
10.03.2019,H11,28.12
10.03.2019,H12,30.01
10.03.2019,H13,28.46
10.03.2019,H14,23.72
10.03.2019,H15,22.70
10.03.2019,H16,22.01
10.03.2019,H17,23.60
10.03.2019,H18,35.02
10.03.2019,H19,48.64
10.03.2019,H20,50.05
10.03.2019,H21,42.23
10.03.2019,H22,40.57
10.03.2019,H23,32.14
10.03.2019,H24,25.04
11.03.2019,H1,15.14
11.03.2019,H2,11.55
11.03.2019,H3,9.00
11.03.2019,H4,8.32
11.03.2019,H5,10.12
11.03.2019,H6,20.33
11.03.2019,H7,34.96
11.03.2019,H8,42.65
11.03.2019,H9,42.50
11.03.2019,H10,38.90
11.03.2019,H11,35.96
11.03.2019,H12,35.56
11.03.2019,H13,34.00
11.03.2019,H14,34.00
11.03.2019,H15,33.87
11.03.2019,H16,36.96
11.03.2019,H17,39.01
11.03.2019,H18,56.63
11.03.2019,H19,69.08
11.03.2019,H20,70.52
11.03.2019,H21,56.05
11.03.2019,H22,45.44
11.03.2019,H23,42.84
11.03.2019,H24,38.07
12.03.2019,H1,41.52
12.03.2019,H2,38.63
12.03.2019,H3,37.06
12.03.2019,H4,34.95
12.03.2019,H5,34.52
12.03.2019,H6,37.54
12.03.2019,H7,46.68
12.03.2019,H8,52.01
12.03.2019,H9,51.34
12.03.2019,H10,46.50
12.03.2019,H11,41.36
12.03.2019,H12,38.66
12.03.2019,H13,34.52
12.03.2019,H14,32.13
12.03.2019,H15,32.16
12.03.2019,H16,33.46
12.03.2019,H17,36.56
12.03.2019,H18,44.50
12.03.2019,H19,58.64
12.03.2019,H20,57.02
12.03.2019,H21,46.19
12.03.2019,H22,33.03
12.03.2019,H23,27.91
12.03.2019,H24,24.05
13.03.2019,H1,18.00
13.03.2019,H2,11.03
13.03.2019,H3,8.08
13.03.2019,H4,6.47
13.03.2019,H5,14.52
13.03.2019,H6,25.55
13.03.2019,H7,43.08
13.03.2019,H8,48.52
13.03.2019,H9,49.84
13.03.2019,H10,48.19
13.03.2019,H11,42.55
13.03.2019,H12,44.54
13.03.2019,H13,46.04
13.03.2019,H14,45.20
13.03.2019,H15,42.97
13.03.2019,H16,42.51
13.03.2019,H17,41.99
13.03.2019,H18,48.19
13.03.2019,H19,62.51
13.03.2019,H20,54.52
13.03.2019,H21,43.00
13.03.2019,H22,33.50
13.03.2019,H23,28.59
13.03.2019,H24,21.96
14.03.2019,H1,23.80
14.03.2019,H2,19.52
14.03.2019,H3,18.74
14.03.2019,H4,15.01
14.03.2019,H5,18.99
14.03.2019,H6,29.03
14.03.2019,H7,37.44
14.03.2019,H8,46.54
14.03.2019,H9,48.18
14.03.2019,H10,45.69
14.03.2019,H11,42.51
14.03.2019,H12,41.94
14.03.2019,H13,41.94
14.03.2019,H14,41.41
14.03.2019,H15,39.73
14.03.2019,H16,41.00
14.03.2019,H17,41.05
14.03.2019,H18,46.00
14.03.2019,H19,51.93
14.03.2019,H20,50.24
14.03.2019,H21,46.04
14.03.2019,H22,42.54
14.03.2019,H23,35.53
14.03.2019,H24,27.03
15.03.2019,H1,29.07
15.03.2019,H2,20.36
15.03.2019,H3,16.54
15.03.2019,H4,15.02
15.03.2019,H5,18.27
15.03.2019,H6,25.67
15.03.2019,H7,35.40
15.03.2019,H8,42.58
15.03.2019,H9,42.56
15.03.2019,H10,41.45
15.03.2019,H11,41.41
15.03.2019,H12,40.50
15.03.2019,H13,40.59
15.03.2019,H14,38.00
15.03.2019,H15,35.16
15.03.2019,H16,34.03
15.03.2019,H17,35.79
15.03.2019,H18,42.50
15.03.2019,H19,52.63
15.03.2019,H20,52.50
15.03.2019,H21,46.51
15.03.2019,H22,32.17
15.03.2019,H23,26.69
15.03.2019,H24,15.95
16.03.2019,H1,28.76
16.03.2019,H2,23.09
16.03.2019,H3,20.40
16.03.2019,H4,11.13
16.03.2019,H5,13.38
16.03.2019,H6,20.99
16.03.2019,H7,29.57
16.03.2019,H8,39.25
16.03.2019,H9,41.88
16.03.2019,H10,41.88
16.03.2019,H11,40.03
16.03.2019,H12,41.83
16.03.2019,H13,39.08
16.03.2019,H14,32.07
16.03.2019,H15,26.52
16.03.2019,H16,27.08
16.03.2019,H17,35.41
16.03.2019,H18,48.07
16.03.2019,H19,63.57
16.03.2019,H20,65.44
16.03.2019,H21,50.07
16.03.2019,H22,42.09
16.03.2019,H23,35.47
16.03.2019,H24,30.50
17.03.2019,H1,22.15
17.03.2019,H2,15.77
17.03.2019,H3,9.67
17.03.2019,H4,4.20
17.03.2019,H5,4.20
17.03.2019,H6,10.51
17.03.2019,H7,5.00
17.03.2019,H8,19.03
17.03.2019,H9,28.27
17.03.2019,H10,28.08
17.03.2019,H11,21.02
17.03.2019,H12,16.24
17.03.2019,H13,13.32
17.03.2019,H14,10.51
17.03.2019,H15,5.99
17.03.2019,H16,13.32
17.03.2019,H17,27.12
17.03.2019,H18,42.00
17.03.2019,H19,56.96
17.03.2019,H20,60.02
17.03.2019,H21,48.86
17.03.2019,H22,41.94
17.03.2019,H23,33.00
17.03.2019,H24,14.00
18.03.2019,H1,23.00
18.03.2019,H2,16.07
18.03.2019,H3,13.99
18.03.2019,H4,12.67
18.03.2019,H5,20.08
18.03.2019,H6,35.53
18.03.2019,H7,39.31
18.03.2019,H8,44.91
18.03.2019,H9,43.92
18.03.2019,H10,41.94
18.03.2019,H11,40.37
18.03.2019,H12,39.31
18.03.2019,H13,37.92
18.03.2019,H14,36.97
18.03.2019,H15,36.31
18.03.2019,H16,38.99
18.03.2019,H17,40.60
18.03.2019,H18,43.57
18.03.2019,H19,49.00
18.03.2019,H20,52.00
18.03.2019,H21,47.29
18.03.2019,H22,41.15
18.03.2019,H23,36.92
18.03.2019,H24,31.51
19.03.2019,H1,35.86
19.03.2019,H2,35.07
19.03.2019,H3,34.69
19.03.2019,H4,33.94
19.03.2019,H5,34.45
19.03.2019,H6,38.01
19.03.2019,H7,46.43
19.03.2019,H8,51.81
19.03.2019,H9,51.00
19.03.2019,H10,47.39
19.03.2019,H11,46.41
19.03.2019,H12,45.25
19.03.2019,H13,44.06
19.03.2019,H14,44.00
19.03.2019,H15,43.95
19.03.2019,H16,44.50
19.03.2019,H17,46.76
19.03.2019,H18,51.10
19.03.2019,H19,56.12
19.03.2019,H20,58.52
19.03.2019,H21,52.57
19.03.2019,H22,48.14
19.03.2019,H23,44.96
19.03.2019,H24,41.01
20.03.2019,H1,39.91
20.03.2019,H2,38.44
20.03.2019,H3,37.16
20.03.2019,H4,36.56
20.03.2019,H5,36.75
20.03.2019,H6,39.43
20.03.2019,H7,44.94
20.03.2019,H8,48.50
20.03.2019,H9,47.97
20.03.2019,H10,43.66
20.03.2019,H11,40.98
20.03.2019,H12,39.95
20.03.2019,H13,38.96
20.03.2019,H14,37.92
20.03.2019,H15,37.41
20.03.2019,H16,38.75
20.03.2019,H17,40.90
20.03.2019,H18,45.73
20.03.2019,H19,51.40
20.03.2019,H20,54.61
20.03.2019,H21,49.94
20.03.2019,H22,44.58
20.03.2019,H23,42.45
20.03.2019,H24,39.38
21.03.2019,H1,37.27
21.03.2019,H2,35.01
21.03.2019,H3,33.70
21.03.2019,H4,33.23
21.03.2019,H5,33.64
21.03.2019,H6,36.39
21.03.2019,H7,43.01
21.03.2019,H8,47.69
21.03.2019,H9,45.57
21.03.2019,H10,42.71
21.03.2019,H11,38.86
21.03.2019,H12,39.49
21.03.2019,H13,37.65
21.03.2019,H14,37.32
21.03.2019,H15,37.00
21.03.2019,H16,37.82
21.03.2019,H17,40.10
21.03.2019,H18,43.43
21.03.2019,H19,51.32
21.03.2019,H20,54.94
21.03.2019,H21,47.99
21.03.2019,H22,43.00
21.03.2019,H23,41.37
21.03.2019,H24,38.19
22.03.2019,H1,38.00
22.03.2019,H2,36.53
22.03.2019,H3,35.91
22.03.2019,H4,35.42
22.03.2019,H5,36.51
22.03.2019,H6,40.98
22.03.2019,H7,46.75
22.03.2019,H8,50.45
22.03.2019,H9,48.00
22.03.2019,H10,44.32
22.03.2019,H11,40.68
22.03.2019,H12,38.10
22.03.2019,H13,37.70
22.03.2019,H14,35.99
22.03.2019,H15,35.52
22.03.2019,H16,36.62
22.03.2019,H17,38.90
22.03.2019,H18,43.98
22.03.2019,H19,53.97
22.03.2019,H20,53.59
22.03.2019,H21,45.74
22.03.2019,H22,40.00
22.03.2019,H23,39.07
22.03.2019,H24,35.90
23.03.2019,H1,35.00
23.03.2019,H2,33.07
23.03.2019,H3,32.32
23.03.2019,H4,31.29
23.03.2019,H5,31.88
23.03.2019,H6,33.49
23.03.2019,H7,35.04
23.03.2019,H8,35.90
23.03.2019,H9,35.83
23.03.2019,H10,34.94
23.03.2019,H11,32.34
23.03.2019,H12,29.92
23.03.2019,H13,29.09
23.03.2019,H14,28.12
23.03.2019,H15,27.55
23.03.2019,H16,28.10
23.03.2019,H17,30.39
23.03.2019,H18,37.94
23.03.2019,H19,56.96
23.03.2019,H20,62.28
23.03.2019,H21,52.38
23.03.2019,H22,41.42
23.03.2019,H23,37.00
23.03.2019,H24,34.81
24.03.2019,H1,33.85
24.03.2019,H2,31.69
24.03.2019,H3,30.63
24.03.2019,H4,30.91
24.03.2019,H5,30.77
24.03.2019,H6,30.64
24.03.2019,H7,28.00
24.03.2019,H8,29.43
24.03.2019,H9,31.00
24.03.2019,H10,31.39
24.03.2019,H11,29.60
24.03.2019,H12,29.00
24.03.2019,H13,28.45
24.03.2019,H14,26.88
24.03.2019,H15,26.08
24.03.2019,H16,25.51
24.03.2019,H17,28.09
24.03.2019,H18,35.55
24.03.2019,H19,46.76
24.03.2019,H20,51.55
24.03.2019,H21,45.38
24.03.2019,H22,37.18
24.03.2019,H23,34.06
24.03.2019,H24,30.38
25.03.2019,H1,27.12
25.03.2019,H2,24.42
25.03.2019,H3,22.83
